[07:48:53] Step 5715 | Total: 2.2410 | CDS: 2.0499
[07:49:08] Step 5720 | Total: 2.5564 | CDS: 2.3209
[07:49:23] Step 5725 | Total: 2.1669 | CDS: 1.9711
[07:49:38] Step 5730 | Total: 2.1566 | CDS: 1.9865
[07:49:53] Step 5735 | Total: 2.2896 | CDS: 2.1352
[07:50:08] Step 5740 | Total: 2.4117 | CDS: 2.2519
[07:50:24] Step 5745 | Total: 2.2017 | CDS: 2.0296
[07:50:39] Step 5750 | Total: 2.2761 | CDS: 2.1265
[07:50:54] Step 5755 | Total: 2.5910 | CDS: 2.3053
[07:51:09] Step 5760 | Total: 2.4587 | CDS: 2.2895
[07:51:25] Step 5765 | Total: 2.3375 | CDS: 2.0935
[07:51:40] Step 5770 | Total: 2.2440 | CDS: 2.0637
[07:51:55] Step 5775 | Total: 2.8931 | CDS: 2.6892
[07:52:10] Step 5780 | Total: 2.5269 | CDS: 2.3405
[07:52:25] Step 5785 | Total: 2.3933 | CDS: 2.2064
[07:52:40] Step 5790 | Total: 2.9520 | CDS: 2.7616
[07:52:56] Step 5795 | Total: 2.2927 | CDS: 2.0762
[07:53:11] Step 5800 | Total: 2.4978 | CDS: 2.2662
[07:53:26] Step 5805 | Total: 2.2657 | CDS: 2.1308
[07:53:41] Step 5810 | Total: 2.6997 | CDS: 2.4910
[07:53:56] Step 5815 | Total: 2.2776 | CDS: 2.0740
[07:54:12] Step 5820 | Total: 2.5143 | CDS: 2.2683
